Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date

Open Ended Schemes ( Debt Scheme - Overnight Fund )


Axis Mutual Fund
146679,Axis Overnight Fund - Direct Plan - Daily Dividend Option,,INF846K01N99,1000.5073,,,17-Nov-2019
146675,Axis Overnight Fund - Direct Plan - Growth Option,INF846K01N65,,1037.9882,,,17-Nov-2019
146677,Axis Overnight Fund - Direct Plan - Monthly Dividend Option,INF846K01N73,INF846K01N81,1003.8867,,,17-Nov-2019
146676,Axis Overnight Fund - Direct Plan - Weekly Dividend Option,INF846K01N40,INF846K01N57,1001.5042,,,17-Nov-2019
146682,Axis Overnight Fund - Regular Plan - Daily Dividend Option,,INF846K01O56,1000.5032,,,17-Nov-2019
146678,Axis Overnight Fund - Regular Plan - Growth Option,INF846K01O23,,1037.4545,,,17-Nov-2019
146681,Axis Overnight Fund - Regular Plan - Monthly Dividend Option,INF846K01O31,INF846K01O49,1003.8431,,,17-Nov-2019
146680,Axis Overnight Fund - Regular Plan - Weekly Dividend Option,INF846K01O07,INF846K01O15,1001.4639,,,17-Nov-2019

Open Ended Schemes ( Debt Scheme - Liquid Fund )


Axis Mutual Fund
112211,Axis Liquid Fund - Daily Dividend Option,,INF846K01420,1001.3998,,,17-Nov-2019
128954,Axis Liquid Fund - Direct plan - Bonus Option,INF846K01NH4,,2158.7113,,,17-Nov-2019
120388,Axis Liquid Fund - Direct Plan - Daily Dividend Option,,INF846K01DA0,1000.9560,,,17-Nov-2019
120389,Axis Liquid Fund - Direct Plan - Growth Option,INF846K01CX4,,2158.8405,,,17-Nov-2019
120391,Axis Liquid Fund - Direct Plan - Monthly Dividend Option,INF846K01CY2,INF846K01CZ9,1003.6316,,,17-Nov-2019
120390,Axis Liquid Fund - Direct Plan - Weekly Dividend Option,INF846K01DB8,INF846K01DC6,1003.0087,,,17-Nov-2019
112210,Axis Liquid Fund - Growth Option,INF846K01412,,2149.3380,,,17-Nov-2019
112213,Axis Liquid Fund - Monthly Dividend Option,INF846K01453,INF846K01461,1004.1933,,,17-Nov-2019
112712,Axis Liquid Fund - Retail Plan - Daily Dividend Option,,INF846K01362,1000.9559,,,17-Nov-2019
112713,Axis Liquid Fund - Retail Plan - Growth Option,INF846K01354,,2023.2049,,,17-Nov-2019
112714,Axis Liquid Fund - Retail Plan - Monthly Dividend Option,INF846K01396,INF846K01404,1003.2969,,,17-Nov-2019
112715,Axis Liquid Fund - Retail Plan - Weekly Dividend Option,INF846K01370,INF846K01388,1001.4511,,,17-Nov-2019
112212,Axis Liquid Fund - Weekly Dividend Option,INF846K01438,INF846K01446,1002.9999,,,17-Nov-2019
